Label (Grouping),North Carolina!!Total!!Estimate,North Carolina!!Total!!Margin of Error,North Carolina!!Insured!!Estimate,North Carolina!!Insured!!Margin of Error,North Carolina!!Percent Insured!!Estimate,North Carolina!!Percent Insured!!Margin of Error,North Carolina!!Uninsured!!Estimate,North Carolina!!Uninsured!!Margin of Error,North Carolina!!Percent Uninsured!!Estimate,North Carolina!!Percent Uninsured!!Margin of Error
Civilian noninstitutionalized population,"10,480,843","±5,339","9,507,748","±23,967",90.7%,±0.2,"973,095","±23,718",9.3%,±0.2
    AGE,,,,,,,,,,
Under 6 years,"707,690","±8,179","680,092","±8,810",96.1%,±0.5,"27,598","±3,535",3.9%,±0.5
6 to 18 years,"1,731,478","±9,771","1,641,032","±10,950",94.8%,±0.4,"90,446","±6,632",5.2%,±0.4
19 to 25 years,"961,673","±11,319","826,861","±11,596",86.0%,±0.7,"134,812","±6,753",14.0%,±0.7
26 to 34 years,"1,236,541","±11,778","1,027,999","±14,136",83.1%,±0.8,"208,542","±9,475",16.9%,±0.8
35 to 44 years,"1,336,158","±9,375","1,126,668","±12,704",84.3%,±0.7,"209,490","±9,177",15.7%,±0.7
45 to 54 years,"1,330,149","±6,801","1,173,596","±10,482",88.2%,±0.6,"156,553","±7,449",11.8%,±0.6
55 to 64 years,"1,352,516","±4,213","1,219,031","±8,864",90.1%,±0.6,"133,485","±8,105",9.9%,±0.6
65 to 74 years,"1,103,925","±4,787","1,094,173","±5,227",99.1%,±0.2,"9,752","±1,887",0.9%,±0.2
75 years and older,"720,713","±4,101","718,296","±4,215",99.7%,±0.1,"2,417","±1,042",0.3%,±0.1
Under 19 years,"2,439,168","±7,470","2,321,124","±10,515",95.2%,±0.3,"118,044","±7,823",4.8%,±0.3
19 to 64 years,"6,217,037","±8,102","5,374,155","±21,400",86.4%,±0.3,"842,882","±20,374",13.6%,±0.3
65 years and older,"1,824,638","±4,258","1,812,469","±4,679",99.3%,±0.1,"12,169","±1,945",0.7%,±0.1
    SEX,,,,,,,,,,
        Male,"5,061,676","±9,520","4,523,903","±17,233",89.4%,±0.3,"537,773","±15,806",10.6%,±0.3
        Female,"5,419,167","±8,720","4,983,845","±14,882",92.0%,±0.2,"435,322","±12,192",8.0%,±0.2
    RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,
